Topics;Alpha;Beta;Coherence
37;0.9099999999999999;0.9099999999999999;
37;0.9099999999999999;symmetric;
37;symmetric;0.01;
37;symmetric;0.31;
37;symmetric;0.61;
37;symmetric;0.9099999999999999;
37;symmetric;symmetric;
37;asymmetric;0.01;
37;asymmetric;0.31;
37;asymmetric;0.61;
37;asymmetric;0.9099999999999999;
37;asymmetric;symmetric;
38;0.01;0.01;
38;0.01;0.31;
38;0.01;0.61;
38;0.01;0.9099999999999999;
38;0.01;symmetric;
38;0.31;0.01;
38;0.31;0.31;
38;0.31;0.61;
38;0.31;0.9099999999999999;
38;0.31;symmetric;
38;0.61;0.01;
38;0.61;0.31;
38;0.61;0.61;
38;0.61;0.9099999999999999;
38;0.61;symmetric;
38;0.9099999999999999;0.01;
38;0.9099999999999999;0.31;
38;0.9099999999999999;0.61;
38;0.9099999999999999;0.9099999999999999;
38;0.9099999999999999;symmetric;0.44845108356535385
38;symmetric;0.01;
38;symmetric;0.31;
38;symmetric;0.61;
38;symmetric;0.9099999999999999;
38;symmetric;symmetric;
38;asymmetric;0.01;
38;asymmetric;0.31;
38;asymmetric;0.61;
38;asymmetric;0.9099999999999999;
38;asymmetric;symmetric;
39;0.01;0.01;
39;0.01;0.31;
39;0.01;0.61;
39;0.01;0.9099999999999999;
39;0.01;symmetric;
39;0.31;0.01;
39;0.31;0.31;
39;0.31;0.61;
39;0.31;0.9099999999999999;
39;0.31;symmetric;
39;0.61;0.01;
39;0.61;0.31;
39;0.61;0.61;
39;0.61;0.9099999999999999;
39;0.61;symmetric;
39;0.9099999999999999;0.01;
39;0.9099999999999999;0.31;
39;0.9099999999999999;0.61;
39;0.9099999999999999;0.9099999999999999;0.45883240318882185
39;0.9099999999999999;symmetric;
39;symmetric;0.01;
39;symmetric;0.31;
39;symmetric;0.61;
39;symmetric;0.9099999999999999;
39;symmetric;symmetric;
39;asymmetric;0.01;
39;asymmetric;0.31;
39;asymmetric;0.61;
39;asymmetric;0.9099999999999999;
39;asymmetric;symmetric;
