Topics;Alpha;Beta;Coherence
11;0.61;symmetric;
11;0.9099999999999999;0.01;0.4545131734252028
11;0.9099999999999999;0.31;
11;0.9099999999999999;0.61;
11;0.9099999999999999;0.9099999999999999;
11;0.9099999999999999;symmetric;
11;symmetric;0.01;
11;symmetric;0.31;
11;symmetric;0.61;
11;symmetric;0.9099999999999999;
11;symmetric;symmetric;
11;asymmetric;0.01;
11;asymmetric;0.31;
11;asymmetric;0.61;
11;asymmetric;0.9099999999999999;
11;asymmetric;symmetric;
12;0.01;0.01;
12;0.01;0.31;
12;0.01;0.61;
12;0.01;0.9099999999999999;
12;0.01;symmetric;
12;0.31;0.01;
12;0.31;0.31;
12;0.31;0.61;
12;0.31;0.9099999999999999;
12;0.31;symmetric;
12;0.61;0.01;
12;0.61;0.31;
12;0.61;0.61;
12;0.61;0.9099999999999999;
12;0.61;symmetric;
12;0.9099999999999999;0.01;0.4532776134042622
12;0.9099999999999999;0.31;
12;0.9099999999999999;0.61;
12;0.9099999999999999;0.9099999999999999;
12;0.9099999999999999;symmetric;
12;symmetric;0.01;
12;symmetric;0.31;
12;symmetric;0.61;
12;symmetric;0.9099999999999999;
12;symmetric;symmetric;
12;asymmetric;0.01;
12;asymmetric;0.31;
12;asymmetric;0.61;
12;asymmetric;0.9099999999999999;
12;asymmetric;symmetric;
13;0.01;0.01;
13;0.01;0.31;
13;0.01;0.61;
13;0.01;0.9099999999999999;
13;0.01;symmetric;
13;0.31;0.01;
13;0.31;0.31;
13;0.31;0.61;
13;0.31;0.9099999999999999;
13;0.31;symmetric;
13;0.61;0.01;
13;0.61;0.31;
13;0.61;0.61;
13;0.61;0.9099999999999999;
13;0.61;symmetric;
13;0.9099999999999999;0.01;
13;0.9099999999999999;0.31;0.4374955402454142
13;0.9099999999999999;0.61;
13;0.9099999999999999;0.9099999999999999;0.4438409047242186
13;0.9099999999999999;symmetric;0.44815673098502123
13;symmetric;0.01;
13;symmetric;0.31;
13;symmetric;0.61;
13;symmetric;0.9099999999999999;
13;symmetric;symmetric;
13;asymmetric;0.01;
13;asymmetric;0.31;
13;asymmetric;0.61;
13;asymmetric;0.9099999999999999;
13;asymmetric;symmetric;
14;0.01;0.01;
14;0.01;0.31;
14;0.01;0.61;
14;0.01;0.9099999999999999;
14;0.01;symmetric;
14;0.31;0.01;
14;0.31;0.31;
14;0.31;0.61;
14;0.31;0.9099999999999999;
14;0.31;symmetric;
14;0.61;0.01;
14;0.61;0.31;
14;0.61;0.61;
14;0.61;0.9099999999999999;
14;0.61;symmetric;
14;0.9099999999999999;0.01;0.45288204648335834
14;0.9099999999999999;0.31;0.4593622590729659
14;0.9099999999999999;0.61;0.44309561722802476
14;0.9099999999999999;0.9099999999999999;0.4601715761218462
14;0.9099999999999999;symmetric;0.4525846629486437
14;symmetric;0.01;
14;symmetric;0.31;
14;symmetric;0.61;
14;symmetric;0.9099999999999999;
14;symmetric;symmetric;
14;asymmetric;0.01;
14;asymmetric;0.31;
14;asymmetric;0.61;
14;asymmetric;0.9099999999999999;
14;asymmetric;symmetric;
15;0.01;0.01;
15;0.01;0.31;
15;0.01;0.61;
15;0.01;0.9099999999999999;
15;0.01;symmetric;
15;0.31;0.01;
15;0.31;0.31;
15;0.31;0.61;
15;0.31;0.9099999999999999;
15;0.31;symmetric;
15;0.61;0.01;
15;0.61;0.31;
15;0.61;0.61;
15;0.61;0.9099999999999999;
15;0.61;symmetric;
15;0.9099999999999999;0.01;0.45146324465404447
15;0.9099999999999999;0.31;
15;0.9099999999999999;0.61;
15;0.9099999999999999;0.9099999999999999;
15;0.9099999999999999;symmetric;0.4369617555939559
15;symmetric;0.01;
15;symmetric;0.31;
15;symmetric;0.61;
15;symmetric;0.9099999999999999;
15;symmetric;symmetric;
15;asymmetric;0.01;
15;asymmetric;0.31;
15;asymmetric;0.61;
15;asymmetric;0.9099999999999999;
15;asymmetric;symmetric;
16;0.01;0.01;
16;0.01;0.31;
16;0.01;0.61;
16;0.01;0.9099999999999999;
16;0.01;symmetric;
16;0.31;0.01;
16;0.31;0.31;
16;0.31;0.61;
16;0.31;0.9099999999999999;
16;0.31;symmetric;
16;0.61;0.01;
16;0.61;0.31;
16;0.61;0.61;
16;0.61;0.9099999999999999;
16;0.61;symmetric;0.46231314165439286
16;0.9099999999999999;0.01;0.46350150357273084
16;0.9099999999999999;0.31;0.4509481170613585
16;0.9099999999999999;0.61;
16;0.9099999999999999;0.9099999999999999;
16;0.9099999999999999;symmetric;0.43196918088725056
16;symmetric;0.01;
16;symmetric;0.31;
16;symmetric;0.61;
16;symmetric;0.9099999999999999;
16;symmetric;symmetric;
16;asymmetric;0.01;
16;asymmetric;0.31;
16;asymmetric;0.61;
16;asymmetric;0.9099999999999999;
16;asymmetric;symmetric;
17;0.01;0.01;
17;0.01;0.31;
17;0.01;0.61;
17;0.01;0.9099999999999999;
17;0.01;symmetric;
17;0.31;0.01;
17;0.31;0.31;
17;0.31;0.61;
17;0.31;0.9099999999999999;
17;0.31;symmetric;
17;0.61;0.01;
17;0.61;0.31;0.44078140660762055
17;0.61;0.61;
17;0.61;0.9099999999999999;
17;0.61;symmetric;
17;0.9099999999999999;0.01;0.46151828390341443
17;0.9099999999999999;0.31;0.43996397868657144
17;0.9099999999999999;0.61;
17;0.9099999999999999;0.9099999999999999;
17;0.9099999999999999;symmetric;
17;symmetric;0.01;
17;symmetric;0.31;
17;symmetric;0.61;
17;symmetric;0.9099999999999999;
17;symmetric;symmetric;
17;asymmetric;0.01;
17;asymmetric;0.31;
17;asymmetric;0.61;
17;asymmetric;0.9099999999999999;
17;asymmetric;symmetric;
18;0.01;0.01;
18;0.01;0.31;
18;0.01;0.61;
18;0.01;0.9099999999999999;
18;0.01;symmetric;
18;0.31;0.01;
18;0.31;0.31;
18;0.31;0.61;
18;0.31;0.9099999999999999;
18;0.31;symmetric;
18;0.61;0.01;
18;0.61;0.31;
18;0.61;0.61;0.4601727090426258
18;0.61;0.9099999999999999;0.4466761914514941
18;0.61;symmetric;
18;0.9099999999999999;0.01;0.4493673566021878
18;0.9099999999999999;0.31;0.44666080062744407
18;0.9099999999999999;0.61;0.44397089608917906
18;0.9099999999999999;0.9099999999999999;
18;0.9099999999999999;symmetric;0.46419123823789715
18;symmetric;0.01;
18;symmetric;0.31;
18;symmetric;0.61;
18;symmetric;0.9099999999999999;
18;symmetric;symmetric;
18;asymmetric;0.01;
18;asymmetric;0.31;
18;asymmetric;0.61;
18;asymmetric;0.9099999999999999;
18;asymmetric;symmetric;
19;0.01;0.01;
19;0.01;0.31;
19;0.01;0.61;
19;0.01;0.9099999999999999;
19;0.01;symmetric;
19;0.31;0.01;
19;0.31;0.31;
19;0.31;0.61;
19;0.31;0.9099999999999999;
19;0.31;symmetric;
19;0.61;0.01;
19;0.61;0.31;
19;0.61;0.61;
19;0.61;0.9099999999999999;
19;0.61;symmetric;
19;0.9099999999999999;0.01;
19;0.9099999999999999;0.31;0.4551139638980336
19;0.9099999999999999;0.61;
19;0.9099999999999999;0.9099999999999999;
19;0.9099999999999999;symmetric;
19;symmetric;0.01;
19;symmetric;0.31;
19;symmetric;0.61;
19;symmetric;0.9099999999999999;
19;symmetric;symmetric;
19;asymmetric;0.01;
19;asymmetric;0.31;
19;asymmetric;0.61;
19;asymmetric;0.9099999999999999;
19;asymmetric;symmetric;
20;0.01;0.01;
20;0.01;0.31;
20;0.01;0.61;
20;0.01;0.9099999999999999;
20;0.01;symmetric;
20;0.31;0.01;
20;0.31;0.31;
20;0.31;0.61;
20;0.31;0.9099999999999999;
20;0.31;symmetric;
20;0.61;0.01;0.4478402445664768
20;0.61;0.31;
20;0.61;0.61;
20;0.61;0.9099999999999999;0.43987473425210555
20;0.61;symmetric;
20;0.9099999999999999;0.01;0.4469886262152176
20;0.9099999999999999;0.31;
20;0.9099999999999999;0.61;
20;0.9099999999999999;0.9099999999999999;
20;0.9099999999999999;symmetric;
20;symmetric;0.01;
20;symmetric;0.31;
20;symmetric;0.61;
20;symmetric;0.9099999999999999;
20;symmetric;symmetric;
20;asymmetric;0.01;
20;asymmetric;0.31;
20;asymmetric;0.61;
20;asymmetric;0.9099999999999999;
20;asymmetric;symmetric;
21;0.01;0.01;
21;0.01;0.31;
21;0.01;0.61;
21;0.01;0.9099999999999999;
21;0.01;symmetric;
21;0.31;0.01;
21;0.31;0.31;
21;0.31;0.61;
21;0.31;0.9099999999999999;
21;0.31;symmetric;
21;0.61;0.01;
21;0.61;0.31;
21;0.61;0.61;
21;0.61;0.9099999999999999;
21;0.61;symmetric;
21;0.9099999999999999;0.01;
21;0.9099999999999999;0.31;0.4431262860377374
21;0.9099999999999999;0.61;
21;0.9099999999999999;0.9099999999999999;0.4499886378929253
21;0.9099999999999999;symmetric;0.4549510742867393
21;symmetric;0.01;
21;symmetric;0.31;
21;symmetric;0.61;
21;symmetric;0.9099999999999999;
21;symmetric;symmetric;
21;asymmetric;0.01;
21;asymmetric;0.31;
21;asymmetric;0.61;
21;asymmetric;0.9099999999999999;
21;asymmetric;symmetric;
22;0.01;0.01;
22;0.01;0.31;
22;0.01;0.61;
22;0.01;0.9099999999999999;
22;0.01;symmetric;
22;0.31;0.01;
22;0.31;0.31;
22;0.31;0.61;
22;0.31;0.9099999999999999;
22;0.31;symmetric;
22;0.61;0.01;
22;0.61;0.31;
22;0.61;0.61;
22;0.61;0.9099999999999999;
22;0.61;symmetric;
22;0.9099999999999999;0.01;
22;0.9099999999999999;0.31;0.4519321046953188
22;0.9099999999999999;0.61;0.4575881523031217
22;0.9099999999999999;0.9099999999999999;0.4497910252402555
22;0.9099999999999999;symmetric;
22;symmetric;0.01;
22;symmetric;0.31;
22;symmetric;0.61;
22;symmetric;0.9099999999999999;
22;symmetric;symmetric;
22;asymmetric;0.01;
22;asymmetric;0.31;
22;asymmetric;0.61;
22;asymmetric;0.9099999999999999;
22;asymmetric;symmetric;
23;0.01;0.01;
23;0.01;0.31;
23;0.01;0.61;
23;0.01;0.9099999999999999;
23;0.01;symmetric;
23;0.31;0.01;
23;0.31;0.31;
23;0.31;0.61;
23;0.31;0.9099999999999999;
23;0.31;symmetric;
23;0.61;0.01;
23;0.61;0.31;
23;0.61;0.61;
23;0.61;0.9099999999999999;
23;0.61;symmetric;0.45398799921423477
23;0.9099999999999999;0.01;
23;0.9099999999999999;0.31;
23;0.9099999999999999;0.61;0.4507674848696778
23;0.9099999999999999;0.9099999999999999;
23;0.9099999999999999;symmetric;
23;symmetric;0.01;
23;symmetric;0.31;
23;symmetric;0.61;
23;symmetric;0.9099999999999999;
23;symmetric;symmetric;
23;asymmetric;0.01;
23;asymmetric;0.31;
23;asymmetric;0.61;
23;asymmetric;0.9099999999999999;
23;asymmetric;symmetric;
24;0.01;0.01;
24;0.01;0.31;
24;0.01;0.61;
24;0.01;0.9099999999999999;
24;0.01;symmetric;
24;0.31;0.01;
24;0.31;0.31;
24;0.31;0.61;
24;0.31;0.9099999999999999;
24;0.31;symmetric;
24;0.61;0.01;
24;0.61;0.31;
24;0.61;0.61;
24;0.61;0.9099999999999999;
24;0.61;symmetric;
24;0.9099999999999999;0.01;0.4558641244156731
24;0.9099999999999999;0.31;
24;0.9099999999999999;0.61;
24;0.9099999999999999;0.9099999999999999;0.4510309079755122
24;0.9099999999999999;symmetric;
24;symmetric;0.01;
24;symmetric;0.31;
24;symmetric;0.61;
24;symmetric;0.9099999999999999;
24;symmetric;symmetric;
24;asymmetric;0.01;
24;asymmetric;0.31;
24;asymmetric;0.61;
24;asymmetric;0.9099999999999999;
24;asymmetric;symmetric;
25;0.01;0.01;
25;0.01;0.31;
25;0.01;0.61;
25;0.01;0.9099999999999999;
25;0.01;symmetric;
25;0.31;0.01;
25;0.31;0.31;
25;0.31;0.61;
25;0.31;0.9099999999999999;
25;0.31;symmetric;
25;0.61;0.01;
25;0.61;0.31;
25;0.61;0.61;
25;0.61;0.9099999999999999;
25;0.61;symmetric;
25;0.9099999999999999;0.01;0.458284055229329
25;0.9099999999999999;0.31;0.45675266767919775
25;0.9099999999999999;0.61;
25;0.9099999999999999;0.9099999999999999;
25;0.9099999999999999;symmetric;0.44731753088860954
25;symmetric;0.01;
25;symmetric;0.31;
25;symmetric;0.61;
25;symmetric;0.9099999999999999;
25;symmetric;symmetric;
25;asymmetric;0.01;
25;asymmetric;0.31;
25;asymmetric;0.61;
25;asymmetric;0.9099999999999999;
25;asymmetric;symmetric;
26;0.01;0.01;
26;0.01;0.31;
26;0.01;0.61;
26;0.01;0.9099999999999999;
26;0.01;symmetric;
26;0.31;0.01;
26;0.31;0.31;
26;0.31;0.61;
26;0.31;0.9099999999999999;
26;0.31;symmetric;
26;0.61;0.01;
26;0.61;0.31;0.4542379040393372
26;0.61;0.61;
26;0.61;0.9099999999999999;
26;0.61;symmetric;
26;0.9099999999999999;0.01;
26;0.9099999999999999;0.31;
26;0.9099999999999999;0.61;
26;0.9099999999999999;0.9099999999999999;
26;0.9099999999999999;symmetric;
26;symmetric;0.01;
26;symmetric;0.31;
26;symmetric;0.61;
26;symmetric;0.9099999999999999;
26;symmetric;symmetric;
26;asymmetric;0.01;
26;asymmetric;0.31;
26;asymmetric;0.61;
26;asymmetric;0.9099999999999999;
26;asymmetric;symmetric;
27;0.01;0.01;
27;0.01;0.31;
27;0.01;0.61;
27;0.01;0.9099999999999999;
27;0.01;symmetric;
27;0.31;0.01;
27;0.31;0.31;
27;0.31;0.61;
27;0.31;0.9099999999999999;
27;0.31;symmetric;
27;0.61;0.01;
27;0.61;0.31;0.4651413491177077
27;0.61;0.61;
27;0.61;0.9099999999999999;
27;0.61;symmetric;
27;0.9099999999999999;0.01;0.4391774493661177
27;0.9099999999999999;0.31;0.45629525337156124
27;0.9099999999999999;0.61;
27;0.9099999999999999;0.9099999999999999;
27;0.9099999999999999;symmetric;0.4499637748607388
27;symmetric;0.01;
27;symmetric;0.31;
27;symmetric;0.61;
27;symmetric;0.9099999999999999;
27;symmetric;symmetric;
27;asymmetric;0.01;
27;asymmetric;0.31;
27;asymmetric;0.61;
27;asymmetric;0.9099999999999999;
27;asymmetric;symmetric;
28;0.01;0.01;
28;0.01;0.31;
28;0.01;0.61;
28;0.01;0.9099999999999999;
28;0.01;symmetric;
28;0.31;0.01;
28;0.31;0.31;
28;0.31;0.61;
28;0.31;0.9099999999999999;
28;0.31;symmetric;
28;0.61;0.01;0.45465815981882685
28;0.61;0.31;
28;0.61;0.61;
28;0.61;0.9099999999999999;
28;0.61;symmetric;
28;0.9099999999999999;0.01;
28;0.9099999999999999;0.31;
28;0.9099999999999999;0.61;
28;0.9099999999999999;0.9099999999999999;
28;0.9099999999999999;symmetric;
28;symmetric;0.01;
28;symmetric;0.31;
28;symmetric;0.61;
28;symmetric;0.9099999999999999;
28;symmetric;symmetric;
28;asymmetric;0.01;
28;asymmetric;0.31;
28;asymmetric;0.61;
28;asymmetric;0.9099999999999999;
28;asymmetric;symmetric;
29;0.01;0.01;
29;0.01;0.31;
29;0.01;0.61;
29;0.01;0.9099999999999999;
29;0.01;symmetric;
29;0.31;0.01;
29;0.31;0.31;
29;0.31;0.61;
29;0.31;0.9099999999999999;
29;0.31;symmetric;
29;0.61;0.01;
29;0.61;0.31;
29;0.61;0.61;
29;0.61;0.9099999999999999;
29;0.61;symmetric;
29;0.9099999999999999;0.01;
29;0.9099999999999999;0.31;
29;0.9099999999999999;0.61;
29;0.9099999999999999;0.9099999999999999;
29;0.9099999999999999;symmetric;
29;symmetric;0.01;
29;symmetric;0.31;
29;symmetric;0.61;
29;symmetric;0.9099999999999999;
29;symmetric;symmetric;
29;asymmetric;0.01;
29;asymmetric;0.31;
29;asymmetric;0.61;
29;asymmetric;0.9099999999999999;
29;asymmetric;symmetric;
30;0.01;0.01;
30;0.01;0.31;
30;0.01;0.61;
30;0.01;0.9099999999999999;
30;0.01;symmetric;
30;0.31;0.01;
30;0.31;0.31;
30;0.31;0.61;
30;0.31;0.9099999999999999;
30;0.31;symmetric;
30;0.61;0.01;
30;0.61;0.31;
30;0.61;0.61;0.46212300000128576
30;0.61;0.9099999999999999;
30;0.61;symmetric;
30;0.9099999999999999;0.01;
30;0.9099999999999999;0.31;
30;0.9099999999999999;0.61;0.4483168877981876
30;0.9099999999999999;0.9099999999999999;0.45531588531764744
30;0.9099999999999999;symmetric;0.4494944527762876
30;symmetric;0.01;
30;symmetric;0.31;
30;symmetric;0.61;
30;symmetric;0.9099999999999999;
30;symmetric;symmetric;
30;asymmetric;0.01;
30;asymmetric;0.31;
30;asymmetric;0.61;
30;asymmetric;0.9099999999999999;
30;asymmetric;symmetric;
31;0.01;0.01;
31;0.01;0.31;
31;0.01;0.61;
31;0.01;0.9099999999999999;
31;0.01;symmetric;
31;0.31;0.01;
31;0.31;0.31;
31;0.31;0.61;
31;0.31;0.9099999999999999;
31;0.31;symmetric;
31;0.61;0.01;
31;0.61;0.31;
31;0.61;0.61;
31;0.61;0.9099999999999999;
31;0.61;symmetric;
31;0.9099999999999999;0.01;
31;0.9099999999999999;0.31;
31;0.9099999999999999;0.61;
31;0.9099999999999999;0.9099999999999999;
31;0.9099999999999999;symmetric;
31;symmetric;0.01;
31;symmetric;0.31;
31;symmetric;0.61;
31;symmetric;0.9099999999999999;
31;symmetric;symmetric;
31;asymmetric;0.01;
31;asymmetric;0.31;
31;asymmetric;0.61;
31;asymmetric;0.9099999999999999;
31;asymmetric;symmetric;
32;0.01;0.01;
32;0.01;0.31;
32;0.01;0.61;
32;0.01;0.9099999999999999;
32;0.01;symmetric;
32;0.31;0.01;
32;0.31;0.31;
32;0.31;0.61;
32;0.31;0.9099999999999999;
32;0.31;symmetric;
32;0.61;0.01;0.45124745533801547
32;0.61;0.31;
32;0.61;0.61;
32;0.61;0.9099999999999999;0.4554486782751477
32;0.61;symmetric;
32;0.9099999999999999;0.01;
32;0.9099999999999999;0.31;0.45902893337254114
32;0.9099999999999999;0.61;
32;0.9099999999999999;0.9099999999999999;
32;0.9099999999999999;symmetric;
