Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.01,0.41124086365202245
100% Corpus,9,0.61,0.31,0.4115986247608477
100% Corpus,9,0.61,0.61,0.4371534660743273
100% Corpus,9,0.61,0.9099999999999999,0.37960306908158514
100% Corpus,9,0.61,symmetric,0.40654981600675505
100% Corpus,9,0.9099999999999999,0.01,0.394452044241944
100% Corpus,9,0.9099999999999999,0.31,0.402818558381308
100% Corpus,9,0.9099999999999999,0.61,0.3670917499776753
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.38294102837474936
100% Corpus,9,0.9099999999999999,symmetric,0.39128050734500486
100% Corpus,9,symmetric,0.01,0.4731821489972906
100% Corpus,9,symmetric,0.31,0.396836330489066
100% Corpus,9,symmetric,0.61,0.428182409782803
100% Corpus,9,symmetric,0.9099999999999999,0.4009877466685809
100% Corpus,9,symmetric,symmetric,0.46238104745619385
100% Corpus,9,asymmetric,0.01,0.4930019683936772
100% Corpus,9,asymmetric,0.31,0.46219664547402506
100% Corpus,9,asymmetric,0.61,0.38353070508754866
100% Corpus,9,asymmetric,0.9099999999999999,0.45825156571230935
100% Corpus,9,asymmetric,symmetric,0.4595052592890522
