Topics;Alpha;Beta;Coherence
6;0,01;0,01;0,66383844
3;symmetric;0,01;0,663789981
2;symmetric;0,61;0,663165613
2;0,31;0,01;0,663071901
2;asymmetric;symmetric;0,662868146
9;symmetric;0,01;0,662852374
6;0,01;0,61;0,662153877
6;symmetric;0,01;0,661365805
7;0,01;0,61;0,661302286
2;0,01;0,31;0,661091109
8;asymmetric;symmetric;0,660796127
3;0,31;0,31;0,660237354
2;symmetric;0,01;0,660211858
5;symmetric;symmetric;0,659861846
6;symmetric;0,61;0,659510653
6;symmetric;0,91;0,659256258
5;symmetric;0,01;0,658302389
4;0,01;0,01;0,658009418
7;asymmetric;0,91;0,658003724
5;0,31;0,01;0,657977075
2;0,61;0,91;0,657936306
8;asymmetric;0,91;0,656825764
3;symmetric;symmetric;0,656622874
2;0,31;0,91;0,656571775
9;0,31;0,61;0,656208899
6;0,01;symmetric;0,656183902
9;0,01;symmetric;0,656183088
3;0,91;0,31;0,65540333
8;0,01;0,01;0,654988009
7;0,01;symmetric;0,654726605
3;0,01;0,61;0,654632611
2;asymmetric;0,61;0,654528033
8;symmetric;0,31;0,654495779
3;symmetric;0,61;0,653510013
4;0,31;0,61;0,653224615
3;asymmetric;0,31;0,652937915
3;0,01;0,31;0,652873457
2;0,61;0,31;0,652412872
8;0,01;0,91;0,652369656
3;0,61;0,91;0,652213302
2;0,91;0,61;0,652178021
8;asymmetric;0,01;0,651714478
6;0,01;0,31;0,651501068
3;asymmetric;0,91;0,651037098
5;symmetric;0,91;0,650805099
2;0,01;0,61;0,650392444
2;asymmetric;0,31;0,650219223
9;0,31;0,91;0,649981418
2;0,61;symmetric;0,649867568
8;0,01;symmetric;0,649176108
9;0,31;0,31;0,648691238
4;symmetric;0,01;0,647781624
2;0,91;0,31;0,647741931
6;symmetric;0,31;0,647533039
6;0,31;0,01;0,647225814
8;symmetric;0,91;0,6469625
8;symmetric;symmetric;0,646606863
6;asymmetric;0,61;0,646553468
7;0,31;0,61;0,646035516
9;0,01;0,61;0,643507876
2;asymmetric;0,01;0,642645859
5;0,31;0,91;0,642050931
7;0,01;0,01;0,641912114
9;symmetric;0,61;0,641804513
4;symmetric;0,61;0,640498616
8;0,01;0,31;0,640259056
7;symmetric;0,61;0,640157042
9;0,01;0,01;0,639368036
7;asymmetric;symmetric;0,639242131
9;0,01;0,91;0,638599037
8;symmetric;0,01;0,638593186
7;asymmetric;0,61;0,638464681
4;asymmetric;0,91;0,638436158
6;0,31;0,61;0,637222385
9;symmetric;0,91;0,636702691
3;0,31;symmetric;0,636609745
9;asymmetric;symmetric;0,633784622
9;symmetric;symmetric;0,633205454
7;0,31;0,31;0,632652021
8;0,31;0,91;0,631853819
6;0,31;0,91;0,631493537
6;asymmetric;symmetric;0,630133364
5;asymmetric;0,61;0,628734094
7;asymmetric;0,01;0,62799753
5;0,01;0,01;0,62792236
9;0,31;symmetric;0,626746318
9;asymmetric;0,61;0,62652696
4;0,31;0,91;0,625259461
9;asymmetric;0,31;0,624304125
4;asymmetric;0,61;0,623701795
5;0,31;0,61;0,623626456
3;asymmetric;0,61;0,623477118
8;0,31;symmetric;0,621502107
8;asymmetric;0,31;0,620182411
8;0,31;0,61;0,610986384
9;0,31;0,01;0,610676333
8;0,31;0,31;0,608716707
7;asymmetric;0,31;0,606279997
9;asymmetric;0,91;0,603412133
3;asymmetric;0,01;0,598799205
5;0,31;symmetric;0,593493092
9;asymmetric;0,01;0,587902566
