Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.9099999999999999,0.4254771069110092
75% Corpus,4,0.01,symmetric,0.42737602487980353
75% Corpus,4,0.31,0.01,0.41764715209532743
75% Corpus,4,0.31,0.31,0.407304881285394
75% Corpus,4,0.31,0.61,0.44799783090855083
75% Corpus,4,0.31,0.9099999999999999,0.4666832845496328
75% Corpus,4,0.31,symmetric,0.4156669889690259
75% Corpus,4,0.61,0.01,0.40905879129148026
75% Corpus,4,0.61,0.31,0.4221375594196399
75% Corpus,4,0.61,0.61,0.4476498074525807
75% Corpus,4,0.61,0.9099999999999999,0.4696876372207175
75% Corpus,4,0.61,symmetric,0.41512964854172024
75% Corpus,4,0.9099999999999999,0.01,0.41480305443497667
75% Corpus,4,0.9099999999999999,0.31,0.4369999485622151
75% Corpus,4,0.9099999999999999,0.61,0.4489566476933812
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4587832666517814
75% Corpus,4,0.9099999999999999,symmetric,0.4406194438390038
75% Corpus,4,symmetric,0.01,0.40896098786951357
75% Corpus,4,symmetric,0.31,0.42796870715345114
75% Corpus,4,symmetric,0.61,0.4397061391241024
75% Corpus,4,symmetric,0.9099999999999999,0.44743084615850715
75% Corpus,4,symmetric,symmetric,0.4011449831417712
75% Corpus,4,asymmetric,0.01,0.416142907792291
75% Corpus,4,asymmetric,0.31,0.4300601187958818
75% Corpus,4,asymmetric,0.61,0.4423469338587306
75% Corpus,4,asymmetric,0.9099999999999999,0.4142813972490314
75% Corpus,4,asymmetric,symmetric,0.4467437625383726
75% Corpus,5,0.01,0.01,0.42314382887582724
75% Corpus,5,0.01,0.31,0.43462444448887555
75% Corpus,5,0.01,0.61,0.4380064435811658
75% Corpus,5,0.01,0.9099999999999999,0.45404853453824695
75% Corpus,5,0.01,symmetric,0.4345872267724
75% Corpus,5,0.31,0.01,0.43870456272545855
75% Corpus,5,0.31,0.31,0.45036801852294606
75% Corpus,5,0.31,0.61,0.4697125360894149
75% Corpus,5,0.31,0.9099999999999999,0.5047529972250981
75% Corpus,5,0.31,symmetric,0.4495732578709283
75% Corpus,5,0.61,0.01,0.44525445275126196
75% Corpus,5,0.61,0.31,0.4474304387040343
75% Corpus,5,0.61,0.61,0.471640592004775
75% Corpus,5,0.61,0.9099999999999999,0.47947854427322756
75% Corpus,5,0.61,symmetric,0.43032431539167454
75% Corpus,5,0.9099999999999999,0.01,0.4662476543463403
75% Corpus,5,0.9099999999999999,0.31,0.45338311035101786
75% Corpus,5,0.9099999999999999,0.61,0.46769399289469915
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.47392428178622364
75% Corpus,5,0.9099999999999999,symmetric,0.43019285008413055
75% Corpus,5,symmetric,0.01,0.43839229661838586
75% Corpus,5,symmetric,0.31,0.44024726540379877
75% Corpus,5,symmetric,0.61,0.45602722755939784
75% Corpus,5,symmetric,0.9099999999999999,0.47396696103115643
75% Corpus,5,symmetric,symmetric,0.450017518862187
75% Corpus,5,asymmetric,0.01,0.4261632702229525
75% Corpus,5,asymmetric,0.31,0.4755433586311237
75% Corpus,5,asymmetric,0.61,0.49023113477735
75% Corpus,5,asymmetric,0.9099999999999999,0.48010020979515416
75% Corpus,5,asymmetric,symmetric,0.4833188006768759
75% Corpus,6,0.01,0.01,0.40111000819772097
75% Corpus,6,0.01,0.31,0.46176840834832156
75% Corpus,6,0.01,0.61,0.4930727856352306
75% Corpus,6,0.01,0.9099999999999999,0.4910489268161515
75% Corpus,6,0.01,symmetric,0.4287046962210173
75% Corpus,6,0.31,0.01,0.4182043946684408
75% Corpus,6,0.31,0.31,0.45425874323837845
75% Corpus,6,0.31,0.61,0.47712016981295663
75% Corpus,6,0.31,0.9099999999999999,0.501057314161459
75% Corpus,6,0.31,symmetric,0.4282110738558113
75% Corpus,6,0.61,0.01,0.47965483470434994
75% Corpus,6,0.61,0.31,0.41048557757593307
75% Corpus,6,0.61,0.61,0.4738257212664491
75% Corpus,6,0.61,0.9099999999999999,0.49247738319183026
75% Corpus,6,0.61,symmetric,0.4287619012971149
75% Corpus,6,0.9099999999999999,0.01,0.4972409036111795
75% Corpus,6,0.9099999999999999,0.31,0.4322638773114471
75% Corpus,6,0.9099999999999999,0.61,0.4364406988133313
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4907565716891638
75% Corpus,6,0.9099999999999999,symmetric,0.4243546453404427
75% Corpus,6,symmetric,0.01,0.4284364967273487
75% Corpus,6,symmetric,0.31,0.43528259969050315
75% Corpus,6,symmetric,0.61,0.4526073937751995
75% Corpus,6,symmetric,0.9099999999999999,0.4924791978491634
75% Corpus,6,symmetric,symmetric,0.43031780213970805
75% Corpus,6,asymmetric,0.01,0.468070147090097
75% Corpus,6,asymmetric,0.31,0.48664439515898755
75% Corpus,6,asymmetric,0.61,0.4694761075485124
75% Corpus,6,asymmetric,0.9099999999999999,0.4610952040550113
75% Corpus,6,asymmetric,symmetric,0.42819358582273814
75% Corpus,7,0.01,0.01,0.4522911898973107
75% Corpus,7,0.01,0.31,0.44309664462697373
75% Corpus,7,0.01,0.61,0.47342614985598075
75% Corpus,7,0.01,0.9099999999999999,0.47294848985332644
75% Corpus,7,0.01,symmetric,0.4434071863697429
75% Corpus,7,0.31,0.01,0.44253364498634545
75% Corpus,7,0.31,0.31,0.4635312458932879
75% Corpus,7,0.31,0.61,0.4806019536781506
75% Corpus,7,0.31,0.9099999999999999,0.47638197944826705
75% Corpus,7,0.31,symmetric,0.4325905201611538
75% Corpus,7,0.61,0.01,0.5189850041487657
75% Corpus,7,0.61,0.31,0.4823993636924847
75% Corpus,7,0.61,0.61,0.512409006027944
75% Corpus,7,0.61,0.9099999999999999,0.52090363750538
75% Corpus,7,0.61,symmetric,0.4575563296418436
75% Corpus,7,0.9099999999999999,0.01,0.5328135953699139
75% Corpus,7,0.9099999999999999,0.31,0.5050185896371706
75% Corpus,7,0.9099999999999999,0.61,0.5162574872838217
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5218052177391658
